iter	RMSE
0	695.1804429
1	693.6581202
2	691.3100972
3	689.0105597
4	686.7626422
5	684.5627283
6	682.8464722
7	681.5430545
8	679.9652883
9	679.7578392
10	678.8761041
11	676.8491385
12	676.7297337
13	675.1747601
14	673.6745071
15	673.6532674
16	672.4742774
17	670.5828267
18	668.7388751
19	667.947443
20	666.1580205
21	665.9976536
22	665.2723579
23	663.5428895
24	662.8796543
25	662.8611773
26	662.1302524
27	662.1193011
28	661.5149029
29	661.4590175
30	661.3984704
31	661.2392332
32	660.7607766
33	660.6603066
34	659.7812581
35	659.7765465
36	658.167555
37	656.5722547
38	655.4666988
39	655.3762299
40	655.3223696
41	654.8387304
42	653.3338628
43	652.5700246
44	651.8439844
45	651.413219
46	650.9175579
47	650.896959
48	649.4782767
49	648.4748558
50	647.1181014
51	646.208868
52	645.8835148
53	645.1634108
54	643.8887132
55	643.8853526
56	643.8118126
57	643.3520062
58	643.3492954
59	643.3418368
60	643.3400749
61	643.3185108
62	642.5227733
63	641.7600089
64	641.4630636
65	641.4579929
66	641.4012116
67	640.6822259
68	639.5112078
69	639.480532
70	638.8972336
71	638.616304
72	637.9587008
73	637.9575637
74	636.8063817
75	636.5711055
76	636.4583158
77	635.7268648
78	635.5676096
79	635.5647691
80	634.5326069
81	633.8533123
82	633.8528168
83	633.8469901
84	633.84087
85	633.8398162
86	633.3796722
87	633.345731
88	632.9508043
89	631.9456635
90	631.3799287
91	631.2548391
92	630.5502329
93	630.5479299
94	630.5460104
95	629.9292165
96	629.5609775
97	629.2164629
98	629.2125283
99	628.3054921
100	627.1267103
101	626.7278775
102	626.3617267
103	625.897474
104	625.8969557
105	625.0437404
106	624.2198374
107	623.8949065
108	623.4773385
109	622.7017476
110	621.9183888
111	621.1540709
112	621.144951
113	620.4037719
114	620.0678206
115	619.6065023
116	619.3368961
117	618.8578378
118	618.4346987
119	618.4309488
120	618.4299809
121	618.1623397
122	618.0596971
123	618.0579428
124	618.0477345
125	617.3885576
126	617.2884514
127	617.2876904
128	617.2028948
129	616.7456029
130	616.5304913
131	615.9124228
132	615.9102006
133	615.4198448
134	614.6433135
135	614.6356188
136	614.3369043
137	614.0476871
138	613.0333188
139	612.7568642
140	612.532705
141	611.9550115
142	611.5834822
143	611.5816327
144	611.5811186
145	611.2203278
146	610.6636767
147	610.5934487
148	610.5917741
149	610.522611
150	610.0026141
151	609.7882124
152	609.7785271
153	609.2682547
154	609.116742
155	608.8504853
156	608.5382492
157	608.0322736
158	608.0313412
159	607.6266623
160	607.4040221
161	606.9547122
162	606.74063
163	604.774819
164	604.5915897
165	604.422101
166	604.3825251
167	604.1240531
168	604.0080554
169	602.7216412
170	602.5750329
171	602.3878544
172	602.3538028
173	601.9482459
174	601.9399348
175	601.7931062
176	601.5631467
177	601.5167275
178	601.5149855
179	601.2281617
180	600.8728937
181	600.5005251
182	599.8978207
183	599.6824133
184	599.2492193
185	599.2394368
186	599.2394358
187	598.7583141
188	598.7305995
189	598.2973666
190	598.0929322
191	597.8808027
192	597.750379
193	597.7243011
194	597.635185
195	597.4448226
196	596.9574609
197	596.9570537
198	596.915584
199	596.8978909
200	596.8922829
201	596.8572372
202	596.8419575
203	596.6996507
204	596.6917263
205	596.6196802
206	595.1170773
207	593.8356753
208	593.8021815
209	593.7273352
210	593.7186502
211	592.2772546
212	591.8811743
213	591.8803547
214	591.8738441
215	591.6672578
216	591.5249849
217	591.5245662
218	591.2296815
219	591.0284514
220	589.2416904
221	589.1849701
222	589.1643369
223	589.1620254
224	589.1543466
225	588.4886825
226	588.325137
227	586.631068
228	586.5218018
229	586.0063044
230	585.7213286
231	584.3000034
232	583.9029629
233	583.8787598
234	583.6744784
235	583.5319483
236	583.5201413
237	583.5135283
238	582.0941944
239	581.9785259
240	581.769188
241	581.7635106
242	581.6406886
243	581.6154857
244	581.5901814
245	581.5897337
246	581.3417408
247	580.3946028
248	580.3020627
249	580.1888118
250	580.0648249
251	579.9420521
252	579.0473645
253	578.8019074
254	578.8009443
255	578.6539795
256	577.267892
257	577.2473709
258	577.0228313
259	576.7929301
260	575.6801867
261	575.4698557
262	575.269593
263	574.2180234
264	574.0189695
265	573.9967122
266	572.6345336
267	572.4421059
268	572.0867555
269	572.0074595
270	571.329915
271	570.6617009
272	570.4744633
273	569.1740078
274	567.8987016
275	567.8024428
276	566.8188754
277	565.5967908
278	565.0947154
279	564.729347
280	564.5588147
281	564.3908729
282	564.1127728
283	562.9312328
284	562.2102616
285	561.0683044
286	560.9075771
287	559.6213918
288	559.4686807
289	558.9525695
