iter	Passed	Remaining
0	227	227639
1	345	172325
2	468	155543
3	561	139907
4	605	120403
5	666	110480
6	736	104421
7	790	98002
8	945	104072
9	1186	117492
10	1448	130212
11	1611	132716
12	1738	131970
13	1844	129891
14	1959	128648
15	2038	125396
16	2140	123753
17	2241	122301
18	2358	121755
19	2463	120688
20	2571	119894
21	2675	118957
22	2776	117929
23	2839	115461
24	2946	114925
25	3017	113027
26	3139	113130
27	3188	110703
28	3298	110458
29	3366	108857
30	3468	108423
31	3746	113334
32	3872	113475
33	3979	113071
34	4086	112661
35	4144	110976
36	4247	110561
37	4364	110492
38	4455	109784
39	4562	109495
40	4622	108116
41	4713	107520
42	4810	107051
43	4870	105815
44	4951	105072
45	5024	104198
46	5119	103803
47	5218	103501
48	5322	103304
49	5422	103018
50	5541	103122
51	5643	102892
52	5754	102827
53	5855	102575
54	5959	102399
55	5998	101118
56	6092	100799
57	6225	101114
58	6266	99945
59	6364	99710
60	6404	98582
61	6503	98398
62	6604	98234
63	6704	98056
64	6818	98085
65	6973	98686
66	7134	99348
67	7281	99795
68	7459	100650
69	7650	101638
70	7736	101223
71	7932	102238
72	8037	102068
73	8078	101094
74	8189	101002
75	8296	100871
76	8400	100695
77	8503	100510
78	8614	100427
79	8710	100168
80	8813	99990
81	8911	99770
82	8984	99267
83	9130	99563
84	9192	98955
85	9229	98094
86	9267	97259
87	9337	96772
88	9419	96417
89	9493	95993
90	9586	95761
91	9676	95502
92	9748	95075
93	9819	94642
94	9890	94221
95	9981	93988
96	10044	93509
97	10103	92996
98	10166	92524
99	10242	92182
100	10315	91818
101	10381	91398
102	10430	90840
103	10493	90404
104	10553	89952
105	10614	89522
106	10684	89171
107	10776	89001
108	10827	88505
109	10886	88078
110	10944	87651
111	11002	87234
112	11063	86843
113	11121	86438
114	11177	86019
115	11225	85549
116	11289	85198
117	11349	84831
118	11403	84421
119	11458	84031
120	11513	83640
121	11571	83279
122	11607	82759
123	11663	82395
124	11737	82164
125	11794	81816
126	11851	81470
127	11899	81067
128	11978	80880
129	12017	80423
130	12076	80112
131	12135	79801
132	12216	79633
133	12280	79362
134	12339	79063
135	12403	78795
136	12466	78532
137	12529	78264
138	12588	77976
139	12651	77715
140	12702	77385
141	12764	77126
142	12823	76849
143	12879	76562
144	12910	76125
145	12968	75856
146	13038	75656
147	13075	75273
148	13132	75004
149	13198	74790
150	13255	74527
151	13313	74273
152	13371	74024
153	13433	73797
154	13492	73553
155	13553	73326
156	13612	73092
157	13693	72973
158	13777	72874
159	13836	72639
160	13915	72515
161	13977	72302
162	14046	72125
163	14120	71978
164	14170	71713
165	14228	71483
166	14270	71180
167	14348	71058
168	14394	70778
169	14452	70562
170	14511	70351
171	14569	70137
172	14611	69846
173	14670	69642
174	14728	69433
175	14788	69239
176	14850	69051
177	14910	68854
178	14967	68650
179	15024	68445
180	15083	68250
181	15143	68060
182	15200	67863
183	15260	67678
184	15320	67493
185	15382	67317
186	15394	66928
187	15450	66732
